Date,SP500,NASDAQ,Financials,Industrials,Consumer Staples,Energy,Information Technology,Utilities
2000-01-03,1455.2,4131.15,307.2,265.6,204.22,206.58,829.2,138.75
2000-01-04,1399.4,3901.69,294.54,257.24,201.13,202.38,783.4,138.91
2000-01-05,1402.1,3877.54,292.56,257.2,201.84,208.56,775.1,144.08
2000-01-06,1403.5,3727.13,304.09,261.64,204.38,218.14,744.4,146.09
2000-01-07,1441.5,3882.62,310.73,270.39,212.88,220.85,756.7,148.39
2000-01-10,1457.6,4049.67,305.19,270.56,210.59,217.7,788.0,147.42
2000-01-11,1438.6,3921.19,301.61,268.27,212.76,219.11,768.9,146.77
2000-01-12,1432.2,3850.02,305.86,268.05,213.43,216.12,755.7,149.5
2000-01-13,1449.7,3957.21,313.91,271.3,212.24,219.62,765.3,150.38
2000-01-14,1465.2,4064.27,322.52,268.74,211.1,217.02,787.4,151.68
2000-01-18,1455.1,4130.81,311.98,266.2,211.75,220.67,790.2,149.0
2000-01-19,1455.9,4151.29,310.35,266.54,210.61,221.11,788.0,149.5
2000-01-20,1445.6,4189.51,303.92,262.61,207.46,216.38,795.7,154.78
2000-01-21,1441.4,4235.4,300.17,261.48,203.87,220.58,795.6,158.99
2000-01-24,1401.5,4096.08,295.48,252.17,200.8,216.62,771.5,156.81
2000-01-25,1410.0,4167.41,298.91,251.4,197.84,215.53,789.0,153.01
2000-01-26,1404.1,4069.91,309.44,255.62,197.79,213.09,760.3,154.33
2000-01-27,1398.6,4039.56,312.54,256.58,196.56,207.39,752.3,154.24
2000-01-28,1360.2,3887.07,300.89,247.3,191.98,202.49,726.4,152.07
2000-01-31,1394.5,3940.35,311.09,248.4,193.87,209.22,745.4,157.63
2000-02-01,1409.3,4051.98,311.67,249.79,193.78,209.12,764.9,156.12
2000-02-02,1409.1,4073.96,308.38,247.69,192.27,209.63,772.2,154.88
2000-02-03,1425.0,4210.98,307.63,251.83,191.65,206.82,799.4,157.3
2000-02-04,1424.4,4244.14,302.92,253.11,189.0,201.4,811.1,153.37
2000-02-07,1424.2,4321.77,300.07,246.54,187.99,202.75,821.9,153.52
2000-02-08,1441.7,4427.5,303.55,247.53,189.9,200.32,836.1,156.11
2000-02-09,1411.7,4363.24,295.22,242.38,188.35,192.26,821.8,155.35
2000-02-10,1416.8,4485.63,289.01,242.42,186.51,196.08,842.9,154.71
2000-02-11,1387.1,4395.45,288.8,237.56,184.51,191.65,815.2,153.41
2000-02-14,1389.9,4418.55,284.23,239.83,182.34,196.15,816.7,154.83
2000-02-15,1402.0,4420.77,290.96,244.32,186.28,203.84,819.9,155.47
2000-02-16,1387.7,4427.65,286.26,241.39,183.81,205.13,814.8,155.57
2000-02-17,1388.3,4548.92,281.5,241.53,183.02,203.87,833.3,154.9
2000-02-18,1346.1,4411.74,271.99,233.79,180.08,198.28,804.5,152.39
2000-02-22,1352.2,4382.12,273.92,238.89,182.9,196.19,803.9,150.43
2000-02-23,1360.7,4550.33,272.56,237.8,179.81,191.73,834.3,148.33
2000-02-24,1353.4,4617.65,268.93,236.9,174.93,188.3,849.6,145.04
2000-02-25,1333.4,4590.5,266.15,232.51,171.24,186.09,836.4,142.42
2000-02-28,1348.0,4577.85,274.19,234.86,175.0,191.8,832.4,146.08
2000-02-29,1366.4,4696.69,276.92,237.5,174.01,196.1,845.9,147.16
2000-03-01,1379.2,4784.08,280.82,238.24,175.51,200.42,857.3,146.57
2000-03-02,1381.8,4754.51,278.08,239.19,171.6,202.84,859.0,147.51
2000-03-03,1409.2,4914.79,281.74,245.29,173.2,200.29,889.0,148.49
2000-03-06,1391.3,4904.85,278.66,242.47,170.1,196.47,886.8,143.95
2000-03-07,1355.6,4847.84,269.36,232.24,155.0,212.71,871.8,144.09
2000-03-08,1366.7,4897.26,266.56,233.85,156.74,209.52,878.9,142.19
2000-03-09,1401.7,5046.86,270.07,237.44,156.67,212.05,910.4,141.65
2000-03-10,1395.1,5048.62,270.41,238.54,151.15,207.13,908.3,142.71
2000-03-13,1383.6,4907.24,272.0,235.53,153.08,204.21,897.3,141.39
2000-03-14,1359.2,4706.63,270.42,232.36,150.55,206.18,873.6,139.89
2000-03-15,1392.2,4582.62,287.68,242.5,162.42,207.49,860.3,145.58
2000-03-16,1458.5,4717.39,312.85,254.2,171.46,215.05,884.1,151.5
2000-03-17,1464.5,4798.13,313.32,254.19,167.74,207.61,911.6,148.69
2000-03-20,1456.6,4610.0,306.31,254.88,167.52,203.43,907.9,147.9
2000-03-21,1493.9,4711.68,317.82,264.13,169.48,209.47,937.0,148.46
2000-03-22,1500.6,4864.75,321.21,262.67,165.97,206.49,955.9,147.16
2000-03-23,1527.3,4940.61,334.34,271.82,167.01,207.58,977.1,148.3
2000-03-24,1527.5,4963.03,334.28,272.78,166.51,209.36,980.5,147.81
2000-03-27,1523.9,4958.56,325.69,270.55,162.45,207.93,988.5,150.34
2000-03-28,1507.7,4833.89,327.81,268.11,163.39,207.01,964.3,147.05
2000-03-29,1508.5,4644.67,325.49,273.39,167.27,218.04,935.8,150.76
2000-03-30,1487.9,4457.89,323.44,270.68,173.46,218.12,899.3,150.37
2000-03-31,1498.6,4572.83,327.62,269.35,171.55,216.62,916.7,151.48
